Cultivar	Wild
MAIdgiRAIDIAAPEI-6	unknown	
MAIdgiRAKDIAAPEI-9	unknown	
MAIdgiRAMDIAAPEI-10	unknown	
MAIdgiRAODIAAPEI-11	unknown	
MAIdgiRAPDIAAPEI-12	unknown	
MAIdgiRARDIAAPEI-1	unknown	
MAIdgiRASDIAAPEI-2	unknown	
MAIdgiRAVDIAAPEI-4	unknown	
MAIdgiRAWDIAAPEI-5	unknown	
MAIdgiRAXDIAAPEI-6	unknown	
MAIdgiRAYDIAAPEI-7	unknown	
MAIdgiRCCDIAAPEI-10	unknown	
MAIdgiRCIDIAAPEI-7	unknown	
MAIdgiRCKDIAAPEI-9	unknown	
ZEAhwcRAXDIAAPE	unknown	
ZEAxppRADDIAAPEI-4	unknown	
ZEAxppRADDIAAPEI-7	unknown	
ZEAxppRAFDIAAPEI-1	unknown	
ZEAxppRAFDIAAPEI-5	unknown	
ZEAxppRAHDIAAPEI-6	unknown	
ZEAxppRAJDIAAPEI-7	unknown	
ZEAxppRALDIAAPEI-9	unknown	
ZEAxppRANDIAAPEI-10	unknown	
ZEAxppRAQDIAAPEI-11	unknown	
ZEAxppRATDIAAPEI-12	unknown	
ZEAxppRAUDIAAPEI-1	unknown	
ZEAxppRAZDIAAPEI-7	unknown	
ZEAxppRBCDIAAPEI-2	unknown	
ZEAxppRBFDIAAPEI-3	unknown	
ZEAxppRBHDIAAPEI-1	unknown	
ZEAxppRBHDIAAPEI-5	unknown	
ZEAxppRBLDIAAPEI-2	unknown	
ZEAxppRBMDIAAPEI-6	unknown	
ZEAxppRBRDIAAPEI-3	unknown	
ZEAxppRBSDIAAPEI-4	unknown	
ZEAxppRBUDIAAPEI-5	unknown	
ZEAxppRBXDIAAPEI-1	unknown	
ZEAxppRBYDIAAPEI-2	unknown	
ZEAxppRCBDIAAPEI-3	unknown	
ZEAxppRCDDIAAPEI-12	unknown	
ZEAxppRCFDIAAPEI-4	unknown	
ZEAxppRCGDIAAPEI-5	unknown	
ZEAxppRCHDIAAPEI-6	unknown	
ZEAxppRCJDIAAPEI-7	unknown	
ZEAxppRCODIAAPEI-9	unknown	
ZEAxppRCPDIAAPEI-10	unknown	
ZEAxppRCQDIAAPEI-11	unknown	
ZEAxppRCUDIAAPEI-1	Improved	
ZEAxppRCVDIAAPEI-2	Improved	
ZEAxppRCWDIAAPEI-3	Landrace	
ZEAxppRCXDIAAPEI-4	Landrace	
ZEAxppRCYDIAAPEI-5	Improved	
ZEAxppRDCDIAAPEI-2	Improved	
ZEAxppRDCDIAAPEI-7	Improved	
ZEAxppRDGDIAAPEI-11	Improved	
ZEAxppRDHDIAAPEI-12	Improved	
ZEAxppRDIDIAAPEI-1	Improved	
ZEAxppRDLDIAAPEI-2	Improved	
ZEAxppRDQDIAAPEI-3	Improved	
ZEAxujRADDIBAPE	Improved	
ZEAxujRAGDIBAPE	Improved	
ZEAxujRAHDIBAPE	Improved	
ZEAxujRAJDIBAPE	Improved	
ZEAxujRAKDIBAPE	Improved	
ZEAxujRALDIBAPE	Improved	
ZEAxujRAMDIBAPE	Improved	
ZEAxujRANDIBAPE	Improved	
ZEAxujRAODIBAPE	Improved	
ZEAxujRAPDIAAPE	Improved	
ZEAxujRAQDIAAPE	Improved	
ZEAxujRARDIAAPE	Improved	
ZEAxujRASDIAAPE	Improved	
ZEAxujRATDIAAPE	Improved	
ZEAxujRAUDIAAPE	Improved	
ZEAxujRAVDIAAPE	Improved	
ZEAxujRAWDIAAPE	Improved	
ZEAxujRAXDIAAPE	Improved	
ZEAxujRAYDIAAPE	Improved	
ZEAxujRAZDIAAPE	Improved	
ZEAxujRBADIAAPE	Improved	
ZEAxujRBBDIAAPE	Improved	
ZEAxujRBCDIBAPE	Improved	
ZEAxujRBDDIBAPE	Improved	
ZEAxujRBFDIBAPE	Improved	
282set_33-16	Improved	
282set_38-11Goodman-Buckler	Improved	
282set_4226	Improved	
282set_4722	Improved	
282set_A188	Improved	
282set_A214NGoodman-Buckler	Improved	
282set_A239	Improved	
282set_A441-5	Improved	
282set_A554	Improved	
282set_A556	Improved	
282set_A6	Improved	
282set_A619	Improved	
282set_A632	Improved	
282set_A634	Improved	
282set_A635	Improved	
282set_A641	Improved	
282set_A654	Improved	
282set_A659	Improved	
282set_A661	Improved	
282set_A679	Improved	
282set_A680	Improved	
282set_A682	Improved	
282set_Ab28A	Improved	
282set_B10	Improved	
282set_B103	Improved	
282set_B104	Improved	
282set_B105	Improved	
282set_B109	Improved	
282set_B14A	Improved	
282set_B164	Improved	
282set_B2	Improved	
282set_B37	Improved	
282set_B46	Improved	
282set_B52	Improved	
282set_B57	Improved	
282set_B64	Improved	
282set_B68	Improved	
282set_B73	Improved	
282set_B75	Improved	
282set_B76	Improved	
282set_B77	Improved	
282set_B79	Improved	
282set_B84	Improved	
282set_C103	Improved	
282set_C123	Improved	
282set_C49A	Improved	
282set_CH701-30	Improved	
282set_CH9	Improved	
282set_CI187-2	Improved	
282set_CI21E	Improved	
282set_CI28AGoodman-Buckler	Improved	
282set_CI31A	Improved	
282set_CI3A	Improved	
282set_CI64	Improved	
282set_CI66	Improved	
