ID	Species	Category
PHR58	Z. mays spp. Mays	Improved
PHR62	Z. mays spp. Mays	Improved
PHR63	Z. mays spp. Mays	Improved
PHT10	Z. mays spp. Mays	Improved
PHT22	Z. mays spp. Mays	Improved
PHT55	Z. mays spp. Mays	Improved
PHT60	Z. mays spp. Mays	Improved
PHT69	Z. mays spp. Mays	Improved
PHT77	Z. mays spp. Mays	Improved
PHV37	Z. mays spp. Mays	Improved
PHV53	Z. mays spp. Mays	Improved
PHV78	Z. mays spp. Mays	Improved
PHW03	Z. mays spp. Mays	Improved
PHW17	Z. mays spp. Mays	Improved
PHW20	Z. mays spp. Mays	Improved
PHW30	Z. mays spp. Mays	Improved
PHW43	Z. mays spp. Mays	Improved
PHW51	Z. mays spp. Mays	Improved
PHW52	Z. mays spp. Mays	Improved
PHW79	Z. mays spp. Mays	Improved
PHWG5	Z. mays spp. Mays	Improved
PHZ51	Z. mays spp. Mays	Improved
PN2	Z. mays spp. Mays	Improved
PN2-8	Z. mays spp. Mays	Improved
Q1261	Z. mays spp. Mays	Improved
Q381	Z. mays spp. Mays	Improved
qi205	Z. mays spp. Mays	Improved
qi318	Z. mays spp. Mays	Improved
qi319	Z. mays spp. Mays	Improved
qi35	Z. mays spp. Mays	Improved
qi410	Z. mays spp. Mays	Improved
qiong51	Z. mays spp. Mays	Improved
R017	Z. mays spp. Mays	Improved
R08	Z. mays spp. Mays	Improved
R136	Z. mays spp. Mays	Improved
R150	Z. mays spp. Mays	Improved
R1656	Z. mays spp. Mays	Improved
R25	Z. mays spp. Mays	Improved
R31	Z. mays spp. Mays	Improved
R98	Z. mays spp. Mays	Improved
RIMMA0438.1	Z. mays spp. Mays	Improved
RS710	Z. mays spp. Mays	Improved
S001	Z. mays spp. Mays	Improved
S22	Z. mays spp. Mays	Improved
S311	Z. mays spp. Mays	Improved
S37	Z. mays spp. Mays	Improved
S53	Z. mays spp. Mays	Improved
S7913	Z. mays spp. Mays	Improved
S8324	Z. mays spp. Mays	Improved
S8326	Z. mays spp. Mays	Improved
SC11-1	Z. mays spp. Mays	Improved
SC14	Z. mays spp. Mays	Improved
SC-14	Z. mays spp. Mays	Improved
SC24-1	Z. mays spp. Mays	Improved
SC30-1	Z. mays spp. Mays	Improved
SC9	Z. mays spp. Mays	Improved
SC-9	Z. mays spp. Mays	Improved
Seagu1117	Z. mays spp. Mays	Improved
Sg1533	Z. mays spp. Mays	Improved
SG17	Z. mays spp. Mays	Improved
shan89	Z. mays spp. Mays	Improved
shangyin110-1	Z. mays spp. Mays	Improved
shen135	Z. mays spp. Mays	Improved
shen137	Z. mays spp. Mays	Improved
shen142	Z. mays spp. Mays	Improved
shen5005	Z. mays spp. Mays	Improved
shen977	Z. mays spp. Mays	Improved
shuang741	Z. mays spp. Mays	Improved
shuangM9B-1	Z. mays spp. Mays	Improved
shuangtaiwu	Z. mays spp. Mays	Improved
siyi	Z. mays spp. Mays	Improved
song1145	Z. mays spp. Mays	Improved
SS99	Z. mays spp. Mays	Improved
su75	Z. mays spp. Mays	Improved
suwan1611	Z. mays spp. Mays	Improved
SW153	Z. mays spp. Mays	Improved
SX-4-21	Z. mays spp. Mays	Improved
SX-6-7	Z. mays spp. Mays	Improved
SZ3	Z. mays spp. Mays	Improved
T24	Z. mays spp. Mays	Improved
tai184	Z. mays spp. Mays	Improved
tangsipingtou	Z. mays spp. Mays	Improved
